Year,Name,Position,Age,Club Name,League Name,Matches Played,Goals,Assists,Points
1974,Gerd Müller,Centre-Forward,28,Bayern Munich,Bundesliga,33,23,13,36
1974,Jupp Heynckes,Centre-Forward,29,Bor. M'gladbach,Bundesliga,31,27,4,31
1974,Delio Onnis,Centre-Forward,26,Monaco,Ligue 1,37,30,0,30
1974,Dieter Müller,Centre-Forward,20,1.FC Köln,Bundesliga,34,24,4,28
1974,Willi Lippens,Left Winger,28,RW Essen,3. Liga,34,15,11,26
1974,Allan Simonsen,Second Striker,21,Bor. M'gladbach,Bundesliga,34,18,4,22
1974,François M'Pelé,Centre-Forward,26,Paris SG,Ligue 1,37,21,0,21
1974,Roland Sandberg,Centre-Forward,27,1.FC K'lautern,2. Bundesliga,34,20,1,21
1974,Manfred Burgsmüller,Attacking Midfield,24,RW Essen,3. Liga,34,18,3,21
1974,Jürgen Grabowski,Right Winger,29,E. Frankfurt,Bundesliga,33,13,8,21
1974,Erwin Kostedde,Centre-Forward,28,K. Offenbach,Regionalliga Südwest,31,18,2,20
1974,Bernd Hölzenbein,Attacking Midfield,28,E. Frankfurt,Bundesliga,33,16,4,20
1974,Bernd Gersdorff,Attacking Midfield,27,E. Braunschweig,2. Bundesliga,34,15,5,20
1974,Hugo Curioni,Centre-Forward,27,FC Metz,Ligue 1,32,19,0,19
1974,Paolo Pulici,Centre-Forward,24,AC Torino,Serie A,23,18,1,19
1974,Klaus Fischer,Centre-Forward,24,FC Schalke 04,2. Bundesliga,33,17,2,19
1974,Dieter Herzog,Left Winger,27,F. Düsseldorf,2. Bundesliga,33,8,11,19
1974,Henning Jensen,Centre-Forward,24,Bor. M'gladbach,Bundesliga,34,13,5,18
1974,Gérard Tonnel,Centre-Forward,26,Troyes AF,Ligue 2,36,17,0,17
1974,Marc Berdoll,Centre-Forward,21,Angers SCO,Ligue 2,36,17,0,17
1974,Nico Braun,Centre-Forward,23,FC Metz,Ligue 1,34,17,0,17
1974,Bernard Lacombe,Centre-Forward,21,Olympique Lyon,Ligue 1,27,17,0,17
1974,Hermann Ohlicher,Attacking Midfield,24,VfB Stuttgart,Bundesliga,34,17,0,17
1974,Santillana,Centre-Forward,21,Real Madrid,LaLiga,32,17,0,17
1974,Reiner Geye,Right Winger,24,F. Düsseldorf,2. Bundesliga,33,15,2,17
1974,Werner Balte,Attacking Midfield,26,VfL Bochum,Bundesliga,34,14,3,17
1974,Norbert Janzon,Right Winger,23,K. Offenbach,Regionalliga Südwest,34,12,5,17
