Title,Author,Rating,Year,Awards,Users who rated
Carrie,Stephen King,"7,0",1976,"['Mejor actriz principal', 'Mejor actriz de reparto', 'Mejor actriz de reparto', 'Mejor actriz', 'Grand Prix (Mejor película)', 'Mención especial']",57.306
Phantasma II,Stephen King,"6,2",1979,,703
El misterio de Salem's Lot,Stephen King,"6,4",1979,,3.361
El resplandor,Stephen King,"8,2",1980,"['Peor dirección', 'Peor actriz', 'Mejor productor extranjero']",149.166
El hombre del saco,Stephen King,"4,4",1982,,116
Cuentos macabros,Stephen King,"6,2",1982,,7.713
Disciples of the Crow,Stephen King,"4,6",1983,,31
La mujer de la habitación,Stephen King,"5,4",1983,,66
Cujo,Stephen King,"5,5",1983,,4.538
La zona muerta,Stephen King,"6,6",1983,"['Grand Prix (Mejor película)', 'Premio de la crítica', 'Mejor película de suspense', 'Premio Antennae II']",11.420
Christine,Stephen King,"6,2",1983,['Grand Prix (Mejor película)'],17.173
Llamas de venganza,Stephen King,"5,1",1984,,2.123
Los niños del maíz,Stephen King,"5,3",1984,['Grand Prix (Mejor película)'],11.554
Los ojos del gato,Stephen King,"6,0",1985,,2.128
Miedo azul,Stephen King,"5,4",1985,['Grand Prix (Mejor película)'],1.890
Battleground,Stephen King,"5,8",1986,,78
La rebelión de las máquinas,Stephen King,"4,8",1986,"['Peor dirección', 'Peor actor']",3.862
Cuenta conmigo,Stephen King,"7,3",1986,"['Mejor guion adaptado', 'Mejor película - Drama', 'Mejor dirección', 'Mejor guion adaptado', 'Mejor película', 'Mejor dirección', 'Mejor guion', 'Mejores 10 películas del año', 'Mejor dirección / película', 'Mejor film de habla extranjera']",33.480
Regreso a Salem's Lot,Stephen King,"4,3",1987,,421
Creepshow 2,Stephen King,"5,8",1987,['Mejor actriz de reparto'],4.086
Perseguido,Stephen King,"5,8",1987,"['Mejor película de ciencia ficción', 'Mejor actor de reparto', 'Mejor vestuario']",12.827
Carrie,Stephen King,"6,4",1988,,69
Cementerio de mascotas,Stephen King,"5,9",1989,"['Peor canción original', 'Mejor película de terror', 'Grand Prix (Mejor película)', 'Premio de la audiencia']",7.691
La fosa común,Stephen King,"4,3",1990,['Grand Prix (Mejor película)'],690
El gato infernal,Stephen King,"5,3",1990,['Grand Prix (Mejor película)'],778
It : El payaso asesino,Stephen King,"5,8",1990,[],18.595
Misery,Stephen King,"7,5",1990,"['Mejor actriz principal', 'Mejor actriz principal - Drama', 'Mejor actriz', 'Mejor actriz', 'Mejor actriz revelación']",41.800
Años dorados,Stephen King,"4,8",1991,,39
Algunas veces ellos vuelven,Stephen King,"4,6",1991,,434
Los niños del maíz II - El sacrificio final,Stephen King,"3,7",1992,,819
Los mutantes,Stephen King,"4,8",1992,,2.053
Cementerio de mascotas II,Stephen King,"4,2",1992,['Grand Prix (Mejor película)'],2.122
El cortador de césped,Stephen King,"5,3",1992,,5.894
Los Tommyknockers,Stephen King,"4,4",1993,,1.118
La mitad oscura,Stephen King,"5,4",1993,,2.178
La tienda,Stephen King,"5,5",1993,,3.717
The Stand (Apocalipsis),Stephen King,"5,7",1994,"['Mejor Miniserie de TV', 'Mejor actor (Telefilm o Miniserie)']",1.342
Sueños de libertad,Stephen King,"8,6",1994,"['Mejor película', 'Mejor actor principal', 'Mejor guion adaptado', 'Mejor montaje', 'Mejor fotografía', 'Mejor banda sonora', 'Mejor sonido', 'Mejor actor principal - Drama', 'Mejor guión', 'Mejor guion adaptado', 'Mejor actor (Largometraje)', 'Mejor actor (Largometraje)', 'Mejor película', 'Mejores 10 películas del año', 'Mejor dirección / película', 'Mejor película', 'Mejor actor secundario', 'Mejor guion', 'Mejor film de habla extranjera']",170.029
Alianza macabra,Stephen King,"4,7",1995,,212
Los niños del maíz III: La cosecha urbana,Stephen King,"3,6",1995,,590
The Langoliers,Stephen King,"5,5",1995,,2.276
Eclipse total,Stephen King,"6,9",1995,['Mejor actriz'],7.733
La resurrección del mal,Stephen King,"3,6",1996,,322
Los chicos del maíz IV: La reunión,Stephen King,"3,6",1996,,471
Maleficio (Thinner),Stephen King,"5,2",1996,,2.679
Quicksilver Highway,Stephen King,"4,1",1997,,167
El aviador nocturno (The Night Flier),Stephen King,"4,8",1997,,794
El resplandor,Stephen King,"5,2",1997,['Mejor Miniserie de TV'],2.096
Infierno blanco,Stephen King,"3,0",1998,,509
Los chicos del maíz V: Campos de terror,Stephen King,"3,4",1998,,673
El aprendiz,Stephen King,"6,4",1998,['Mejor actor'],6.847
Los chicos del maíz 666: El regreso de Isaac,Stephen King,"3,1",1999,,486
La tormenta del siglo,Stephen King,"6,0",1999,[],1.821
La ira (The Rage: Carrie 2),Stephen King,"3,7",1999,,2.916
Milagros inesperados,Stephen King,"7,9",1999,"['Mejor película', 'Mejor actor de reparto', 'Mejor guion adaptado', 'Mejor sonido', 'Mejor actor de reparto', 'Mejor actor de reparto - Drama', 'Mejor reparto (Largometraje)', 'Mejor actor secundario (Largometraje)', 'Mejor dirección / película', 'Mejor película', 'Mejor actor secundario', 'Mejor guión adaptado', 'Mejor actor secundario', 'Mejor actor revelación', 'Mejor film de habla extranjera']",109.330
Sin escape,Stephen King,"3,3",1997,,156
Los chicos del maíz VII: Revelación,Stephen King,"2,6",2001,,201
Nostalgia del pasado,Stephen King,"6,2",2001,['Mejor fotografía'],6.206
Virus del Mangler (Alianza Macabra 2),Stephen King,--,2002,,6.206
Ojos de fuego 2,Stephen King,"3,5",2002,,205
La zona muerta,Stephen King,"5,9",2002,,294
Carrie,Stephen King,"4,7",2002,,662
Rose Red,Stephen King,"5,1",2002,,2.095
El diario de Ellen Rimbauer,Stephen King,"4,6",2003,,468
El cazador de sueños,Stephen King,"4,4",2003,,17.738
Viaje a las tinieblas,Stephen King,"4,4",2004,,898
El hospital de los muertos,Stephen King,"5,6",2004,,863
El misterio de Salem's Lot,Stephen King,"5,4",2004,,1.659
La ventana secreta,Stephen King,"6,0",2004,,27.981
The Mangler Reborn,Stephen King,--,2005,,27.981
Home Delivery: Servicio a domicilio,Stephen King,"4,9",2005,[],80
"Pesadillas y alucinaciones, de las historias de Stephen King",Stephen King,"5,7",2006,"['Mejor guion en un episodio de serie dramática', 'Mejor actor (Telefilm o Miniserie)', 'Mejor miniserie o película para TV']",980
Desesperación,Stephen King,"4,3",2006,,1.172
No Smoking,Stephen King,"6,0",2007,,30
1408,Stephen King,"5,8",2007,[],28.093
La niebla,Stephen King,"6,4",2007,[],35.666
The Talisman,Stephen King,--,2008,,35.666
Todo es eventual,Stephen King,--,2009,,35.666
Los niños del maíz,Stephen King,"4,2",2009,,364
El cadillac de Dolan,Stephen King,"4,9",2009,,948
The Boogeyman,Stephen King,--,2010,,948
Haven,Stephen King,"5,6",2010,,916
Children of the Corn: Genesis,Stephen King,"3,5",2011,,215
La maldición de Dark Lake (Un saco de huesos),Stephen King,"4,5",2011,,1.241
Willa,Stephen King,--,2012,,1.241
La Cúpula,Stephen King,"5,1",2013,,9.043
Carrie,Stephen King,"5,0",2013,,12.062
Big Driver (TV),Stephen King,"4,4",2014,,586
Piedad (de Stephen King),Stephen King,"3,9",2014,,1.006
Stephen King's A Good Marriage,Stephen King,"4,5",2014,,1.589
Rest Stop,Stephen King,--,2015,,1.589
11.22.63,Stephen King,"6,7",2016,['Mejor guion adaptado (formato largo)'],4.886
